Dataset,Method,Metric,Scaler,Cophenet,vanDongen,adjRand
audio_features,single,sqeuclidean,minMax,0.5319088279828761,0.9971428571428571,0.00014830785845359266
audio_features,single,sqeuclidean,standard,0.5790527363132136,0.9971428571428571,0.00014830785845359266
audio_features,complete,sqeuclidean,minMax,0.5756020003169572,0.9845303867403314,0.001857263690739113
audio_features,complete,sqeuclidean,standard,0.5660683523463157,0.9845303867403314,0.001857263690739113
audio_features,average,sqeuclidean,minMax,0.6949086831182696,0.9855715871254163,0.0015660749321533781
audio_features,average,sqeuclidean,standard,0.6955004628077754,0.9855715871254163,0.0015660749321533781
audio_analysis,single,braycurtis,minMax,0.7559411494112602,0.9977103606182026,-3.676842111898617e-05
audio_analysis,single,braycurtis,standard,-0.1432431375216725,0.9977103606182026,-3.676842111898617e-05
audio_analysis,complete,braycurtis,minMax,0.5931421334378314,0.7931782945736434,0.12472834794379307
audio_analysis,complete,braycurtis,standard,0.23074255505614402,0.7931782945736434,0.12472834794379307
audio_analysis,average,braycurtis,minMax,0.7615827506147322,0.9982993197278912,-0.00022442113981732234
audio_analysis,average,braycurtis,standard,0.315467989923168,0.9982993197278912,-0.00022442113981732234
audio_analysis,single,canberra,minMax,0.7603864497415671,0.997709049255441,-6.885169429168469e-05
audio_analysis,single,canberra,standard,-0.17624560339429787,0.997709049255441,-6.885169429168469e-05
audio_analysis,complete,canberra,minMax,0.34098917968052916,0.9394387001477105,0.008802724330095985
audio_analysis,complete,canberra,standard,0.19105764747507703,0.9394387001477105,0.008802724330095985
audio_analysis,average,canberra,minMax,0.7672563992662839,0.9988584474885844,-0.00018402909840325998
audio_analysis,average,canberra,standard,0.23735028889076418,0.9988584474885844,-0.00018402909840325998
audio_analysis,single,chebyshev,minMax,0.7365773478556077,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,chebyshev,standard,0.7412685824177797,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,chebyshev,minMax,0.4389813438727232,0.6717932943709628,0.19484488381293125
audio_analysis,complete,chebyshev,standard,0.24937871261818065,0.6717932943709628,0.19484488381293125
audio_analysis,average,chebyshev,minMax,0.7103258358644045,0.9045226130653267,0.03769497173781548
audio_analysis,average,chebyshev,standard,0.6937553834574471,0.9045226130653267,0.03769497173781548
audio_analysis,single,cityblock,minMax,0.7015608662780647,0.9982817869415808,-2.0355427958589123e-05
audio_analysis,single,cityblock,standard,0.7165741628736763,0.9982817869415808,-2.0355427958589123e-05
audio_analysis,complete,cityblock,minMax,0.5344077285905013,0.8308519437551696,0.08266569140846138
audio_analysis,complete,cityblock,standard,0.5839073804550721,0.8308519437551696,0.08266569140846138
audio_analysis,average,cityblock,minMax,0.7381567985726888,0.979933110367893,0.00044001130468023327
audio_analysis,average,cityblock,standard,0.7285873227549902,0.979933110367893,0.00044001130468023327
audio_analysis,single,correlation,minMax,0.43798218413716183,0.9971379507727532,-3.057319332312927e-05
audio_analysis,single,correlation,standard,-0.06925973092406516,0.9971379507727532,-3.057319332312927e-05
audio_analysis,complete,correlation,minMax,0.3770228280505332,0.717071611253197,0.15717933012285773
audio_analysis,complete,correlation,standard,0.19448948109779926,0.717071611253197,0.15717933012285773
audio_analysis,average,correlation,minMax,0.540729175218108,0.6574298579840665,0.19392455845790244
audio_analysis,average,correlation,standard,0.3028688061912494,0.6574298579840665,0.19392455845790244
audio_analysis,single,cosine,minMax,0.7170406417081776,0.9971379507727532,-3.057319332312927e-05
audio_analysis,single,cosine,standard,-0.11200452055422004,0.9971379507727532,-3.057319332312927e-05
audio_analysis,complete,cosine,minMax,0.5729110474565104,0.6579914268218003,0.20795609991762928
audio_analysis,complete,cosine,standard,0.2384243884164633,0.6579914268218003,0.20795609991762928
audio_analysis,average,cosine,minMax,0.7447048913576735,0.7316636851520573,0.11507831335141862
audio_analysis,average,cosine,standard,0.3292466037036251,0.7316636851520573,0.11507831335141862
audio_analysis,single,dice,minMax,0.26057855622296755,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,dice,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,dice,minMax,0.2605838107666411,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,dice,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,dice,minMax,0.26060633620995227,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,dice,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,euclidean,minMax,0.714186808721668,0.9982817869415808,-2.0355427958589123e-05
audio_analysis,single,euclidean,standard,0.7271960631262097,0.9982817869415808,-2.0355427958589123e-05
audio_analysis,complete,euclidean,minMax,0.4977135473683844,0.690537084398977,0.15909955697471792
audio_analysis,complete,euclidean,standard,0.3070158264358502,0.690537084398977,0.15909955697471792
audio_analysis,average,euclidean,minMax,0.747302625630334,0.8792096991468343,0.0460086773581541
audio_analysis,average,euclidean,standard,0.740272111741082,0.8792096991468343,0.0460086773581541
audio_analysis,ward,euclidean,minMax,0.3374788987171185,0.6472346786248132,0.22947537879426594
audio_analysis,ward,euclidean,standard,0.32161631780348227,0.6472346786248132,0.22947537879426594
audio_analysis,single,hamming,minMax,0.002644566185590461,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,hamming,standard,0.002761669156167428,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,hamming,minMax,0.002644566185590461,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,hamming,standard,0.002761669156167428,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,hamming,minMax,0.002644566185590461,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,hamming,standard,0.002761669156167428,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,jaccard,minMax,0.002644566185590461,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,jaccard,standard,0.002761669156167428,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,jaccard,minMax,0.002644566185590461,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,jaccard,standard,0.002761669156167428,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,jaccard,minMax,0.002644566185590461,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,jaccard,standard,0.002761669156167428,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,kulsinski,minMax,0.2635937423448886,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,kulsinski,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,kulsinski,minMax,0.26562150848654187,0.9988545246277205,-7.917004883064118e-05
audio_analysis,complete,kulsinski,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,kulsinski,minMax,0.26362504766505296,0.9988545246277205,-7.917004883064118e-05
audio_analysis,average,kulsinski,standard,,0.9988545246277205,-7.917004883064118e-05
audio_analysis,single,mahalanobis,minMax,0.6506520177171546,0.9988545246277205,-2.3450934320276075e-05
audio_analysis,single,mahalanobis,standard,0.6768627047484469,0.9988545246277205,-2.3450934320276075e-05
audio_analysis,complete,mahalanobis,minMax,0.44928719111122145,0.9676240208877285,0.0018160249210842174
audio_analysis,complete,mahalanobis,standard,0.4695307865376682,0.9676240208877285,0.0018160249210842174
audio_analysis,average,mahalanobis,minMax,0.6380597408324712,0.9965714285714286,-8.593594488393384e-05
